transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd,tokens_sold
0x88e167d7d990fc378cd7e9970e0c85b519f696841912bcea2aab90c755513882,14368687,2022-03-12,1,0xbf05cca381a8ad0177fb967341d040c6fa980335,0xd1d977625141d07f8dac0e43591ffceb40809d1f,0xbf05cca381a8ad0177fb967341d040c6fa980335,0xd1d977625141d07f8dac0e43591ffceb40809d1f,0.056,143.51861179801404,1
0xc299a9294f3ea68d2692aea9d86ab8076fed701bff53abfd72cb84faafe60e18,14368665,2022-03-12,1,0x475f41617d2a87827ff9211c6dd84a602c78a20f,0x8aec3a4989e66cb45b18bf36076a602509db975e,0x475f41617d2a87827ff9211c6dd84a602c78a20f,0x8aec3a4989e66cb45b18bf36076a602509db975e,0.056,143.51861179801404,1
0x179529b72f2d4c5c6aecbf3af2426f8b26052dbb421f45ae6cb2cca7953eaa06,14368602,2022-03-12,1,0xec38aed9505965d73b7d09e4a0535659b0ba29e0,0xb29bb2780892c7e4f151796f173153c1aa15bd7a,0xec38aed9505965d73b7d09e4a0535659b0ba29e0,0xb29bb2780892c7e4f151796f173153c1aa15bd7a,0.05799,148.6186481815506,1
0x8d4ac3f2b64cac79d4622f2ba243ac2ca26e2ba3d6ba4347df596491ea6b9677,14368568,2022-03-12,1,0xa4f3a25d562e4396777d93bcd95ae3c91eb8ef23,0xca5243997e5e66c7dd49e6646537251b8d237d4e,0xca5243997e5e66c7dd49e6646537251b8d237d4e,0xa4f3a25d562e4396777d93bcd95ae3c91eb8ef23,0.054,138.3929470909421,1
0x92ca403f1f8c620ee32035b8d99cf3329e601f08cb933c7e9205eb1377a148e8,14368565,2022-03-12,1,0x3030a69b585122e04d8dd63afb519910a94c84fb,0x905feed29d0608cc1b72f45e3ceb53341741e99f,0x3030a69b585122e04d8dd63afb519910a94c84fb,0x905feed29d0608cc1b72f45e3ceb53341741e99f,0.0559,143.26232856266043,1
0xc8695e03b565a98115a6e408962d78acf7779d87502b0e7e809a6ad92bad8a0d,14368560,2022-03-12,1,0xf081d21d6630e691fe3c420aba575ea511a89d05,0x4a85ed5ea7d699f430b585a7ffe907ccdf346151,0xf081d21d6630e691fe3c420aba575ea511a89d05,0x4a85ed5ea7d699f430b585a7ffe907ccdf346151,0.11,281.91155888895616,2
0x8678ea54db987dfa3324bd22f730e2a710b6fa78c2a4e5cf14d9fda5c3acf80f,14368488,2022-03-11,1,0xe3d3b27520ec04b7818d352873ec82ec83b447c5,0xa15f0276be78affdc88283419d7dbfe4c65e27fc,0xa15f0276be78affdc88283419d7dbfe4c65e27fc,0xe3d3b27520ec04b7818d352873ec82ec83b447c5,0.053,138.40763029274962,1
0x567283acabeff4908dc2b335bbd0d58bca8852fc572088b3b814965361b6c148,14368472,2022-03-11,1,0x796de99b02a6313d5ad081ac738f2466f8bd7db5,0xad166d768865d4e5d2cf6a1e82da44972c5aa221,0x796de99b02a6313d5ad081ac738f2466f8bd7db5,0xad166d768865d4e5d2cf6a1e82da44972c5aa221,0.055,143.63055973775903,1
0xb975620f13c5ed96e6e4ecba45bd56e2e063a7c7a945e32a9d457b65ab83f263,14368428,2022-03-11,1,0x311a9ed25f9216e3b3cb552985123346ded8d6fd,0xfa1aaafa2581eb076b831923607653c4a7c35e00,0x311a9ed25f9216e3b3cb552985123346ded8d6fd,0xfa1aaafa2581eb076b831923607653c4a7c35e00,0.0556,145.19743857126184,1
0x8d4adf7376b05b3287c5418f1019118b782a92d940aaf290eab5e09f077e5dcf,14368414,2022-03-11,1,0x8176676ec07d3474ef7086c952e978659aea7d66,0x5532bb90a4eb9982a296b33bc364e42af259b875,0x8176676ec07d3474ef7086c952e978659aea7d66,0x5532bb90a4eb9982a296b33bc364e42af259b875,0.055,143.63055973775903,1
0x9daaf162fcc62c3d16334f860833476966d9c1980f011569eee6055cfcd9c22b,14368404,2022-03-11,1,0xd6d4173a3f995dafc6e616356fe143dea247cc0b,0x4a07571aa5d50373eb2c4bde72ffc10a3e580e7b,0xd6d4173a3f995dafc6e616356fe143dea247cc0b,0x4a07571aa5d50373eb2c4bde72ffc10a3e580e7b,0.055,143.63055973775903,1
0x8900df0b919f9951bf78c7e98d1db53973df20a78671963ff8da687cee81f3ff,14368246,2022-03-11,1,0x0de2af5d27ded1de2570ffd0c62496c625b78085,0xce081ce160179992ccce0d90037897a9525f466a,0x0de2af5d27ded1de2570ffd0c62496c625b78085,0xce081ce160179992ccce0d90037897a9525f466a,0.055,143.63055973775903,1
0x4d54152decbe0eb97fda559c03193410431d6ba7e0a5214791ea5223ea1d6737,14368223,2022-03-11,1,0x63abd9a8c6f4035adcd7fe3a5ce16f966276aeda,0x49a963186f30c6ac9f0cbe3c6440c4f54efac2c2,0x63abd9a8c6f4035adcd7fe3a5ce16f966276aeda,0x49a963186f30c6ac9f0cbe3c6440c4f54efac2c2,0.054,141.01909501525432,1
0xae25eca84e25cdcde478250eecf4f3ce518c996ca7c7cd7e9cb28c1c4b78cbb0,14368157,2022-03-11,1,0x08bab54509db5dcd2e0e67e665272ee8b0cc56b2,0x4eaf1e07f1d5e4425b6910bc1e5fe59e4e5d80b3,0x08bab54509db5dcd2e0e67e665272ee8b0cc56b2,0x4eaf1e07f1d5e4425b6910bc1e5fe59e4e5d80b3,0.0536,139.97450912625246,1
